kind,id,type_or_predicate,label_or_source,target,attrs
node,trace:hlo:sp01-hlo12-aow3-io5,hlo,Deploy seed,,"{""aow_code"": ""AOW03"", ""budget_basis"": ""sum of the PORB HLO-sheet rows of this HLO"", ""budget_usd"": 1947273.0, ""centres"": [""AfricaRice"", ""CIAT (Alliance)"", ""CIMMYT"", ""CIP"", ""ICARDA"", ""IITA""], ""code"": ""HLO12.AOW3.IO5"", ""n_indicator_rows"": 31, ""program_code"": ""SP01"", ""degree"": 42}"
node,trace:concept:l2-0060,concept,Framework,,"{""alt_labels"": [], ""definition"": ""A framework document outlines high level principles to frame to take forward relevant field."", ""layer"": 2, ""pref_label"": ""Framework"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0060"", ""degree"": 42}"
node,trace:result:prms-26783,result,Joint Product Advancement Meeting (PAM) with key NARES partners organized.,,"{""climate_tag_level"": ""Significant"", ""environment_tag_level"": ""Not targeted"", ""gender_tag_level"": ""Not targeted"", ""is_krs"": false, ""lead_centre"": ""AfricaRice"", ""n_countries"": 13, ""n_evidence"": 1, ""n_partners"": 13, ""nutrition_tag_level"": ""Significant"", ""poverty_tag_level"": ""Significant"", ""program_code"": ""SP01"", ""reporting_cycle"": ""Reporting 2025"", ""result_code"": 23448, ""result_type"": ""Other output"", ""status"": ""Quality Assessed"", ""year"": 2025, ""degree"": 41}"
node,trace:concept:l2-0163,concept,Stakeholders,,"{""alt_labels"": [], ""definition"": ""Agencies, organizations, groups or individuals who have a direct or indirect interest in the CGIAR or its components, for instance, research programs or its evaluation."", ""layer"": 2, ""pref_label"": ""Stakeholders"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0163"", ""degree"": 40}"
node,trace:concept:l2-0048,concept,Endline (value),,"{""alt_labels"": [], ""definition"": ""A measurement of a given indicator at the end of a project\u2019s process. It may be a target value (desired value), or a measurement of a value attained."", ""layer"": 2, ""pref_label"": ""Endline (value)"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0048"", ""degree"": 40}"
node,trace:concept:l2-0140,concept,Results,,"{""alt_labels"": [], ""definition"": ""The positive/negative, direct/indirect, and intended/unintended change or consequence of a planned project/program activity or intervention in the form of output, outcome or impact."", ""layer"": 2, ""pref_label"": ""Results"", ""source"": ""melia_glossary"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-0140"", ""degree"": 40}"
node,trace:concept:l2-p-sharing,concept,Sharing,,"{""alt_labels"": [], ""definition"": ""Structural node: terms used at the sharing stage (P5) \u2014 reporting, communication and use of results."", ""layer"": 2, ""pref_label"": ""Sharing"", ""source"": ""lexicon"", ""status"": ""approved"", ""uri"": ""https://taxonomy.meliaf.cgiar.org/term/L2-P-SHARING"", ""degree"": 39}"
node,trace:country:co,country,Colombia,,"{""iso2"": ""CO"", ""degree"": 38}"
node,trace:country:mx,country,Mexico,,"{""iso2"": ""MX"", ""degree"": 38}"
node,trace:result:prms-22697,result,Rooted Apical Cuttings - cost-effective method for potato seed production in Sub Saharan Africa,,"{""climate_tag_level"": ""Significant"", ""environment_tag_level"": ""Significant"", ""gender_tag_level"": ""Significant"", ""is_krs"": false, ""lead_centre"": ""CIP"", ""n_countries"": 9, ""n_evidence"": 13, ""n_partners"": 5, ""nutrition_tag_level"": ""Significant"", ""poverty_tag_level"": ""Significant"", ""program_code"": ""SP01"", ""reporting_cycle"": ""Reporting 2025"", ""result_code"": 3248, ""result_type"": ""Innovation development"", ""status"": ""Quality Assessed"", ""year"": 2025, ""toc_indicator_refs"": [""cad05c87-b48e-4fe1-a6c8-50bdcfb51434""], ""toc_mapping_status"": ""unresolved_external_uuid"", ""degree"": 37}"
